timestamp,sensor,value,voltage,temperature,weather,precipitation,humidity,wind_speed
3/2/22 15:20,A1 ,-1,"2.096774193548387,",,,,,
3/2/22 15:20,A2,653,"2.0258064516129033,",,,,,
3/2/22 15:20,A3,638,"2.1322580645161286,",,,,,
3/2/22 15:20,A4,670,"2.1999999999999997,",,,,,
3/2/22 15:20,A5,683,"2.129032258064516,",,,,,
3/2/22 15:20,A6,626,"2.019354838709677,",,,,,
3/2/22 15:20,A7,661,"2.1322580645161286,",,,,,
3/2/22 15:20,A8,634,"1.9806451612903226,",,,,,
3/2/22 15:20,A9,406,"1.6322580645161289,",,,,,
3/2/22 15:20,A10,671,2.2,,,,,
3/2/22 15:20,B1,53,0.096774194,,,,,
3/2/22 15:20,B2,637,"2.093548387096774,",,,,,
3/2/22 15:20,B3,619,"2.129032258064516,",,,,,
3/2/22 15:20,B4,932,"2.829032258064516,",,,,,
3/2/22 15:20,B5,651,2.135483871,,,,,
3/2/22 15:20,B6,971,"3.132258064516129,",,,,,
3/2/22 15:20,B7,570,1.974193548,,,,,
3/2/22 15:20,B8,645,1.958064516,,,,,
3/2/22 15:20,B9,658,2.261290323,,,,,
3/2/22 15:20,B10,695,2.238709677,,,,,
3/2/22 15:25,A1 ,634,,,,,,
3/2/22 15:25,A2,639,,,,,,
3/2/22 15:25,A3,651,,,,,,
3/2/22 15:25,A4,674,,,,,,
3/2/22 15:25,A5,692,,,,,,
3/2/22 15:25,A6,653,,,,,,
3/2/22 15:25,A7,669,,,,,,
3/2/22 15:25,A8,645,,,,,,
3/2/22 15:25,A9,505,,,,,,
3/2/22 15:25,A10,701,2.235483871,,,,,
3/2/22 15:25,B10,694,2.335483871,,,,,
3/2/22 15:30,A10,779,2.535483871,,,,,
3/2/22 15:30,B10,681,2.232258065,,,,,
3/2/22 15:35,A10,781,2.393548387,,,,,
3/2/22 15:35,B10,662,2.261290323,,,,,
3/2/22 15:40,A10,869,2.751612903,,,,,
3/2/22 15:40,B10,692,2.235483871,,,,,
3/2/22 15:45,A10,701,2.261290323,,,,,
3/2/22 15:45,B10,660,2.132258065,,,,,
3/2/22 15:50,A10,673,2.096774194,,,,,
3/2/22 15:50,B10,662,2.261290323,,,,,
3/2/22 15:55,A10,650,2.151612903,,,,,
3/2/22 15:55,B10,660,2.25483871,,,,,
3/2/22 16:00,A10,677,2.209677419,,,,,
3/2/22 16:00,B10,681,2.225806452,,,,,
3/2/22 16:05,A10,701,2.235483871,,,,,
3/2/22 16:05,B10,661,2.14516129,,,,,
3/2/22 16:10,A10,765,2.329032258,,,,,
3/2/22 16:10,B10,682,2.219354839,,,,,
3/2/22 16:15,A10,706,2.319354839,,,,,
3/2/22 16:15,B10,682,2.2,,,,,
3/2/22 16:20,A10,714,2.322580645,,,,,
3/2/22 16:20,B10,682,2.193548387,,,,,
3/2/22 16:25,A10,670,2.174193548,,,,,
3/2/22 16:25,B10,650,2.235483871,,,,,
3/2/22 16:30,A10,719,2.232258065,,,,,
3/2/22 16:30,B10,664,2.274193548,,,,,
3/2/22 16:35,A10,709,2.351612903,,,,,
3/2/22 16:35,B10,693,2.235483871,,,,,
3/2/22 16:40,A10,685,2.2,,,,,
3/2/22 16:40,B10,705,2.183870968,,,,,
3/2/22 16:45,A10,701,2.235483871,,,,,
3/2/22 16:45,B10,661,2.222580645,,,,,
3/2/22 16:50,A10,699,2.138709677,,,,,
3/2/22 16:50,B10,692,2.080645161,,,,,
3/2/22 16:55,A10,698,2.132258065,,,,,
3/2/22 16:55,B10,682,2.225806452,,,,,
3/2/22 17:00,A10,714,2.183870968,,,,,
3/2/22 17:00,B10,662,2.080645161,,,,,
3/2/22 17:05,A10,697,2.219354839,,,,,
3/2/22 17:05,B10,656,2.029032258,,,,,
3/2/22 17:10,A10,669,2.238709677,,,,,
3/2/22 17:10,B10,667,2.032258065,,,,,
3/2/22 17:15,A10,680,2.2,,,,,
3/2/22 17:15,B10,639,2.151612903,,,,,
3/2/22 17:20,A10,698,2.251612903,,,,,
3/2/22 17:20,B10,665,2.093548387,,,,,
3/2/22 17:25,A10,708,2.251612903,,,,,
3/2/22 17:25,B10,677,2.122580645,,,,,
3/2/22 17:30,A10,682,2.232258065,,,,,
3/2/22 17:30,B10,661,2.041935484,,,,,
3/2/22 17:35,A10,693,2.170967742,,,,,
3/2/22 17:35,B10,678,2.090322581,,,,,
3/2/22 17:40,A10,677,2.183870968,,,,,
3/2/22 17:40,B10,633,2.041935484,,,,,
3/2/22 17:45,A10,664,2.148387097,,,,,
3/2/22 17:45,B10,678,2.167741935,,,,,
3/2/22 17:50,A10,667,2.151612903,,,,,
3/2/22 17:50,B10,674,2.029032258,,,,,
3/2/22 17:55,A10,669,2.132258065,,,,,
3/2/22 17:55,B10,623,2.116129032,,,,,
3/2/22 18:00,A10,667,2.2,,,,,
3/2/22 18:00,B10,621,2.032258065,,,,,
3/2/22 18:05,A10,666,2.096774194,,,,,
3/2/22 18:05,B10,630,2.05483871,,,,,
3/2/22 18:10,A10,665,2.183870968,,,,,
3/2/22 18:10,B10,637,2.083870968,,,,,
3/2/22 18:15,A10,657,2.119354839,,,,,
3/2/22 18:15,B10,667,2.125806452,,,,,
3/2/22 18:20,A10,650,2.096774194,,,,,
3/2/22 18:20,B10,623,2.032258065,,,,,
3/2/22 18:25,A10,693,2.187096774,,,,,
3/2/22 18:25,B10,667,2.032258065,,,,,
3/2/22 18:30,A10,693,2.235483871,,,,,
3/2/22 18:30,B10,642,1.980645161,,,,,
3/2/22 18:35,A10,674,2.096774194,,,,,
3/2/22 18:35,B10,667,2.074193548,,,,,
3/2/22 18:41,A10,666,2.190322581,,,,,
3/2/22 18:41,B10,667,2.074193548,,,,,
3/2/22 18:46,A10,650,2.096774194,,,,,
3/2/22 18:46,B10,665,2.14516129,,,,,
3/2/22 18:51,A10,666,2.148387097,,,,,
3/2/22 18:51,B10,659,2.074193548,,,,,
3/2/22 18:56,A10,672,2.183870968,,,,,
3/2/22 18:56,B10,614,2.070967742,,,,,
3/2/22 19:01,A10,692,2.109677419,,,,,
3/2/22 19:01,B10,669,1.980645161,,,,,
3/2/22 19:06,A10,650,2.183870968,,,,,
3/2/22 19:06,B10,626,2.14516129,,,,,
3/2/22 19:11,A10,669,2.096774194,,,,,
3/2/22 19:11,B10,635,2.022580645,,,,,
3/2/22 19:16,A10,650,2.109677419,,,,,
3/2/22 19:16,B10,626,2.116129032,,,,,
3/2/22 19:21,A10,650,2.183870968,,,,,
3/2/22 19:21,B10,630,2.061290323,,,,,
3/2/22 19:26,A10,677,2.122580645,,,,,
3/2/22 19:26,B10,669,2.103225806,,,,,
3/2/22 19:31,A10,677,2.235483871,,,,,
3/2/22 19:31,B10,665,2.14516129,,,,,
3/2/22 19:36,A10,673,2.235483871,,,,,
3/2/22 19:36,B10,630,2.103225806,,,,,
3/2/22 19:41,A10,693,2.274193548,,,,,
3/2/22 19:41,B10,615,1.983870968,,,,,
3/2/22 19:46,A10,693,2.174193548,,,,,
3/2/22 19:46,B10,646,2.158064516,,,,,
3/2/22 19:51,A10,693,2.235483871,,,,,
3/2/22 19:51,B10,615,2.032258065,,,,,
3/2/22 19:56,A10,1023,3.232258065,,,,,
3/2/22 19:56,B10,639,2.032258065,,,,,
3/2/22 20:01,A10,1013,3.232258065,,,,,
3/2/22 20:01,B10,655,2.019354839,,,,,
3/2/22 20:06,A10,1006,3.232258065,,,,,
